City,County,Population,Description,NearbyCities,MainTreeType,Landmark,FocusService
Harold,Santa Rosa,,"Harold tree operations near ESCAMBIA RIVER STATE WILDLIFE MANAGEMENT AREA in Santa Rosa County combine CODIT-informed pruning decisions with risk-rated pruning and dead-boot removal around targets, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Holley, Navarre, Pace","Live Oaks, Slash Pines, Bald Cypress",ESCAMBIA RIVER STATE WILDLIFE MANAGEMENT AREA,Palm Risk Assessment
Bee Ridge,Sarasota,,"Bee Ridge tree operations near CITY BEACH PARK in Sarasota County combine storm load-path assessment and sail-area management with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Beverley Terrace, Eastgate, Fordville","Cabbage Palms, Sabal Palms, Live Oaks",CITY BEACH PARK,Tree Health Diagnostics
Beverley Terrace,Sarasota,,"Beverley Terrace tree operations near ISLAND PARK in Sarasota County combine air-spade root collar excavation with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eastgate, Fordville, North Port","Cabbage Palms, Mangroves, Gumbo Limbo",ISLAND PARK,Structural Pruning
Eastgate,Sarasota,,"Eastgate tree operations near OSCAR SCHERER STATE PARK in Sarasota County combine target clearance to utility line standards with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Fordville, North Port, Sarasota","Black Mangroves, Live Oaks, Gumbo Limbo",OSCAR SCHERER STATE PARK,Root Barrier Installation
Chuluota,Seminole,,"Chuluota tree operations near FORT MELLON PARK in Seminole County combine target clearance to utility line standards with stump grinding to grade with controlled spoil management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Alderene Park, Sanford, Altamonte Springs","Southern Magnolias, Longleaf Pines, Bald Cypress",FORT MELLON PARK,Stump Grinding
Bass Haven,St. Johns,,"Bass Haven tree operations near JAMES PARK in St. Johns County combine CODIT-informed pruning decisions with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Florence, Anastasia, Araquey","Slash Pines, Southern Magnolias, Mangroves",JAMES PARK,Hazardous Tree Removal
Florence,St. Johns,,"Florence tree operations near GUANA RIVER STATE PARK in St. Johns County combine sonic tomography screening for decay pockets with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Anastasia, Araquey, Armstrong","Bald Cypress, Mangroves, Southern Magnolias",GUANA RIVER STATE PARK,Canopy Reduction
Anastasia,St. Johns,,"Anastasia tree operations near HUGUENOT PARK in St. Johns County combine resistograph verification on suspect stems with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Araquey, Armstrong, Bakersville","Live Oaks, Red Maples, Southern Magnolias",HUGUENOT PARK,Emergency Storm Cleanup
Araquey,St. Johns,,"Araquey tree operations near CASTILLO DE SAN MARCOS NATIONAL MONUMENT in St. Johns County combine compaction relief with vertical mulching with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Armstrong, Bakersville, Fruit Cove","Bald Cypress, Longleaf Pines, Mangroves",CASTILLO DE SAN MARCOS NATIONAL MONUMENT,Palm Risk Assessment
Armstrong,St. Johns,,"Armstrong tree operations near JAMES PARK in St. Johns County combine ANSI A300 pruning specs with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bakersville, Fruit Cove, Nocatee","Mangroves, Live Oaks, Cabbage Palms",JAMES PARK,Tree Health Diagnostics
Ankona,St. Lucie,,"Ankona tree operations near NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE in St. Lucie County combine CODIT-informed pruning decisions with crown raising to maintain vehicle/pedestrian clearance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cana, Collins Park Estates, Eden","Black Mangroves, Gumbo Limbo, Live Oaks",NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE,Structural Pruning
Cana,St. Lucie,,"Cana tree operations near THE SAVANNAHS RECREATION AREA in St. Lucie County combine air-spade root collar excavation with trenchless barrier placement where utilities are present, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Collins Park Estates, Eden, Glidden Park","Live Oaks, Sabal Palms, Sea Grapes",THE SAVANNAHS RECREATION AREA,Root Barrier Installation
Collins Park Estates,St. Lucie,,"Collins Park Estates tree operations near ROUND ISLAND PARK in St. Lucie County combine resistograph verification on suspect stems with full removal of surface roots where trip hazards exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Eden, Glidden Park, Indrio","Black Mangroves, Live Oaks, Mangroves",ROUND ISLAND PARK,Stump Grinding
Eden,St. Lucie,,"Eden tree operations near NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE in St. Lucie County combine compaction relief with vertical mulching with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Glidden Park, Indrio, Paradise Park","Live Oaks, Sea Grapes, Royal Palms",NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE,Hazardous Tree Removal
Glidden Park,St. Lucie,,"Glidden Park tree operations near THE SAVANNAHS RECREATION AREA in St. Lucie County combine sonic tomography screening for decay pockets with clearance pruning with balanced scaffold retention, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Indrio, Paradise Park, Port Saint Lucie","Mangroves, Gumbo Limbo, Live Oaks",THE SAVANNAHS RECREATION AREA,Canopy Reduction
Indrio,St. Lucie,,"Indrio tree operations near ROUND ISLAND PARK in St. Lucie County combine ISA TRAQ-style risk matrix scoring with 24/7 response for hangers and roadway obstructions, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Paradise Park, Port Saint Lucie, Port St. Lucie","Gumbo Limbo, Live Oaks, Sea Grapes",ROUND ISLAND PARK,Emergency Storm Cleanup
Paradise Park,St. Lucie,,"Paradise Park tree operations near NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE in St. Lucie County combine dynamic cabling & bracing systems with bud-rot and ganoderma screening with mitigation recommendations, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Port Saint Lucie, Port St. Lucie, Fort Pierce","Sabal Palms, Royal Palms, Cabbage Palms",NORTH FORK SAINT LUCIE RIVER AQUATIC PRESERVE,Palm Risk Assessment
Bevilles Corner,Sumter,,"Bevilles Corner tree operations near LAKE GRIFFIN STATE PARK in Sumter County combine sonic tomography screening for decay pockets with pest/pathogen scouting with integrated management guidance, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Bushnell, Carlson, Carver","Live Oaks, Longleaf Pines, Red Maples",LAKE GRIFFIN STATE PARK,Tree Health Diagnostics
Bushnell,Sumter,,"Bushnell tree operations near SINGLETARY PARK in Sumter County combine sonic tomography screening for decay pockets with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Carlson, Carver, Center Hill","Longleaf Pines, Bald Cypress, Red Maples",SINGLETARY PARK,Structural Pruning
Carlson,Sumter,,"Carlson tree operations near LAKE GRIFFIN STATE PARK in Sumter County combine ISA BMP reduction cuts with root pruning with a linear barrier to protect hardscape, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Carver, Center Hill, Cherry Lake","Bald Cypress, Southern Magnolias, Slash Pines",LAKE GRIFFIN STATE PARK,Root Barrier Installation
Carver,Sumter,,"Carver tree operations near SINGLETARY PARK in Sumter County combine sonic tomography screening for decay pockets with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Center Hill, Cherry Lake, Coleman","Slash Pines, Longleaf Pines, Red Maples",SINGLETARY PARK,Stump Grinding
Center Hill,Sumter,,"Center Hill tree operations near LAKE GRIFFIN STATE PARK in Sumter County combine ISA BMP reduction cuts with crane-assisted picks when drop-zone constraints exist, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Cherry Lake, Coleman, Lake Panasoffkee","Slash Pines, Southern Magnolias, Longleaf Pines",LAKE GRIFFIN STATE PARK,Hazardous Tree Removal
Cherry Lake,Sumter,,"Cherry Lake tree operations near SINGLETARY PARK in Sumter County combine ISA TRAQ-style risk matrix scoring with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Coleman, Lake Panasoffkee, Lincoln Park","Longleaf Pines, Southern Magnolias, Red Maples",SINGLETARY PARK,Canopy Reduction
Coleman,Sumter,,"Coleman tree operations near LAKE GRIFFIN STATE PARK in Sumter County combine CODIT-informed pruning decisions with temporary stabilization and follow-up structural pruning, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lake Panasoffkee, Lincoln Park, The Villages","Longleaf Pines, Slash Pines, Southern Magnolias",LAKE GRIFFIN STATE PARK,Emergency Storm Cleanup
Lake Panasoffkee,Sumter,,"Lake Panasoffkee tree operations near SINGLETARY PARK in Sumter County combine dynamic cabling & bracing systems with palm crown inspection (spear integrity, frond attachment, trunk cavities), including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Lincoln Park, The Villages, Wildwood","Bald Cypress, Southern Magnolias, Longleaf Pines",SINGLETARY PARK,Palm Risk Assessment
Beachville,Suwannee,,"Beachville tree operations near GIBSON COUNTY PARK in Suwannee County combine sonic tomography screening for decay pockets with root-zone evaluation and corrective fertilization plan, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Branford, Dowling Park, McAlpin","Slash Pines, Southern Magnolias, Live Oaks",GIBSON COUNTY PARK,Tree Health Diagnostics
Branford,Suwannee,,"Branford tree operations near GIBSON COUNTY PARK in Suwannee County combine ganoderma butt rot symptom checks on palms with scaffold selection with proper branch spacing and taper management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Dowling Park, McAlpin, O'Brien","Bald Cypress, Slash Pines, Longleaf Pines",GIBSON COUNTY PARK,Structural Pruning
Dowling Park,Suwannee,,"Dowling Park tree operations near GIBSON COUNTY PARK in Suwannee County combine dynamic cabling & bracing systems with sidewalk lift mitigation and grade-safe root management, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","McAlpin, O'Brien, Suwannee Springs","Southern Magnolias, Longleaf Pines, Live Oaks",GIBSON COUNTY PARK,Root Barrier Installation
McAlpin,Suwannee,,"McAlpin tree operations near GIBSON COUNTY PARK in Suwannee County combine target clearance to utility line standards with deep grind for replant-ready backfill and surface restoration, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","O'Brien, Suwannee Springs, Wellborn","Slash Pines, Bald Cypress, Southern Magnolias",GIBSON COUNTY PARK,Stump Grinding
O'Brien,Suwannee,,"O'Brien tree operations near GIBSON COUNTY PARK in Suwannee County combine ANSI A300 pruning specs with sectional dismantle with rigging blocks and a lowering device, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Suwannee Springs, Wellborn, Ellaville","Red Maples, Bald Cypress, Slash Pines",GIBSON COUNTY PARK,Hazardous Tree Removal
Suwannee Springs,Suwannee,,"Suwannee Springs tree operations near GIBSON COUNTY PARK in Suwannee County combine compaction relief with vertical mulching with selective thinning to improve air movement without lion-tailing, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Wellborn, Ellaville, Falmouth","Longleaf Pines, Red Maples, Live Oaks",GIBSON COUNTY PARK,Canopy Reduction
Wellborn,Suwannee,,"Wellborn tree operations near GIBSON COUNTY PARK in Suwannee County combine target clearance to utility line standards with hurricane debris triage, bucking, chipping, and haul-off logistics, including crew-safe exclusion zones, chip/haul logistics, and post-work target reassessment.","Ellaville, Falmouth, Hildreth","Slash Pines, Live Oaks, Bald Cypress",GIBSON COUNTY PARK,Emergency Storm Cleanup
